Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
61,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-219,1995,17.9,37,28,29,7,1,24,35,68.6,11,22,10,12,19,56,120,2,Matches
62,Adam Bareiro,py PAR,FW,Fortaleza,29-087,1996,2.8,3,3,0,3,0,1,3,33.3,2,2,0,2,0,3,2,0,Matches
63,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,24-108,2001,14.9,13,5,1,7,5,5,18,27.8,13,15,1,14,10,23,11,0,Matches
64,Álvaro Barreal,ar ARG,"FW,MF",Santos,25-065,2000,17.5,29,14,7,15,7,14,40,35.0,26,35,5,30,20,49,17,1,Matches
65,Jordan Barrera,co COL,FW,Botafogo (RJ),19-193,2006,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
66,Cauan Barros,br BRA,MF,Vasco da Gama,21-168,2004,7.8,17,12,5,10,2,11,17,64.7,6,8,4,4,11,28,40,1,Matches
67,Enmerson Batalla,co COL,"FW,MF",Juventude,24-113,2001,14.6,22,16,7,11,4,8,20,40.0,12,8,2,6,2,24,6,1,Matches
68,Paulo Baya,br BRA,FW,Ceará,26-087,1999,3.3,3,2,1,1,1,2,6,33.3,4,3,0,3,0,3,0,1,Matches
69,Paulo Baya,br BRA,"MF,FW",Fluminense,26-087,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,Matches
70,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-221,1997,13.2,18,10,8,7,3,11,16,68.8,5,12,5,7,9,27,46,0,Matches
71,Erick Belé,br BRA,MF,Palmeiras,18-273,2007,0.1,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
72,Luis Benedetti,br BRA,DF,Palmeiras,19-136,2006,2.0,2,1,2,0,0,2,2,100.0,0,1,1,0,2,4,8,0,Matches
73,Alan Benítez,py PAR,"DF,FW",Internacional,31-269,1994,5.1,10,4,5,5,0,7,12,58.3,5,4,1,3,1,11,21,0,Matches
74,Alexandro Bernabei,ar ARG,DF,Internacional,25-027,2000,20.2,58,34,24,22,12,32,67,47.8,35,26,5,21,32,90,47,1,Matches
75,Facundo Bernal,uy URU,MF,Fluminense,22-061,2003,9.2,22,18,6,13,3,14,24,58.3,10,11,3,8,8,30,14,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Bernard,br BRA,"MF,FW",Atlético Mineiro,33-043,1992,7.0,17,10,4,9,4,9,13,69.2,4,2,0,2,4,21,3,0,Matches
77,Matheus Bianqui,br BRA,"MF,FW",Mirassol,27-263,1998,1.6,6,6,0,5,1,2,2,100.0,0,3,0,3,0,6,7,0,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,26-170,1999,15.4,24,18,12,7,5,14,22,63.6,8,19,3,16,18,42,33,1,Matches
79,Biel,br BRA,"FW,MF",Atlético Mineiro,24-203,2001,5.0,5,1,1,1,3,3,6,50.0,3,3,0,3,4,9,2,1,Matches
80,Rafael Bilu,br BRA,"MF,FW",Juventude,26-183,1999,3.6,4,3,1,2,1,2,8,25.0,6,4,0,4,0,4,6,0,Matches
81,Damián Bobadilla,py PAR,MF,São Paulo,24-102,2001,16.7,38,26,8,20,10,13,31,41.9,18,18,4,14,10,48,18,0,Matches
82,Yannick Bolasie,cd COD,"FW,MF",Cruzeiro,36-150,1989,1.6,4,1,2,1,1,3,4,75.0,1,1,0,1,1,5,8,0,Matches
83,Gabriel Bontempo,br BRA,"MF,FW",Santos,20-278,2005,10.2,27,14,16,9,2,10,23,43.5,13,10,1,9,19,46,14,0,Matches
84,Thiago Borbas,uy URU,"FW,MF",RB Bragantino,23-197,2002,6.2,7,4,3,2,2,5,11,45.5,6,9,1,8,1,8,8,0,Matches
85,Daniel Borges,br BRA,DF,Mirassol,32-212,1993,7.5,8,4,6,1,1,4,13,30.8,9,10,3,7,8,16,24,1,Matches
86,Marllon Borges,br BRA,DF,Ceará,33-188,1992,21.0,23,9,16,6,1,8,17,47.1,9,18,17,1,11,34,132,2,Matches
87,Pedro Borges,br BRA,MF,Fortaleza,28-232,1997,0.4,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
