Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
74,Gabriel Barros,br BRA,MF,Botafogo (SP),24-016,2001,12,8,676,7.5,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
75,Gabriel Barros,br BRA,MF,Criciúma,24-016,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Lucas Belezi,br BRA,DF,Ath Paranaense,22-186,2003,15,11,988,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Lautaro Belleggia,ar ARG,MF,Volta Redonda,28-234,1997,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Gastón Benavídez,ar ARG,"DF,MF",Ath Paranaense,30-018,1995,18,16,1446,16.1,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
79,Jorge Benítez,py PAR,FW,Paysandu,33-069,1992,19,11,888,9.9,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
80,Martín Benítez,ar ARG,"FW,MF",América (MG),31-146,1994,3,0,93,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Martín Benítez,ar ARG,MF,Goiás,31-146,1994,9,1,261,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Gabriel Bispo,br BRA,MF,Botafogo (SP),28-250,1997,24,21,1818,20.2,1,2,3,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,Matches
83,Matheus Blade,br BRA,DF,Amazonas,28-179,1997,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Igor Bohn,br BRA,GK,Avaí,29-192,1996,14,14,1215,13.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Igor Bolt,br BRA,FW,Ferroviária,25-041,2000,8,0,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Benjamín Borasi,ar ARG,MF,Criciúma,27-364,1997,15,2,390,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
87,Benjamín Borasi,ar ARG,MF,Paysandu,27-364,1997,8,5,446,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Diego Borges,br BRA,DF,Amazonas,20-330,2004,5,4,382,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Gabriel Boschilia,br BRA,"MF,FW",Operário,29-250,1996,33,33,2837,31.5,9,6,15,5,4,4,8,0,0.29,0.19,0.48,0.16,0.35,Matches
90,David Braga,br BRA,MF,Athletic,23-334,2001,32,27,2083,23.1,6,2,8,6,0,0,2,0,0.26,0.09,0.35,0.26,0.35,Matches
91,David Brall,br BRA,FW,CRB,22-201,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Brayann,br BRA,"FW,MF",Goiás,28-016,1997,10,6,483,5.4,1,2,3,1,0,0,0,1,0.19,0.37,0.56,0.19,0.56,Matches
93,Bressan,br BRA,DF,Chapecoense,32-299,1993,5,2,195,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Eduardo Brock,br BRA,DF,Avaí,34-188,1991,35,35,3136,34.8,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
95,Júnior Brumado,br BRA,FW,Coritiba,26-179,1999,6,0,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Bryan,br BRA,"DF,MF",Paysandu,29-247,1996,21,16,1381,15.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Daniel Cabral,br BRA,MF,Volta Redonda,23-180,2002,5,0,184,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Daniel Cabral,br BRA,MF,Remo,23-180,2002,4,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Guilherme Cachoeira,br BRA,MF,Athletic,23-199,2002,8,1,219,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Victor Caetano,br BRA,DF,Chapecoense,28-022,1997,25,23,1988,22.1,1,1,2,1,0,0,6,1,0.05,0.05,0.09,0.05,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Vitor Caetano,br BRA,GK,CRB,26-132,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Jonathan Cafu,br BRA,MF,Botafogo (SP),34-123,1991,30,21,1648,18.3,2,2,4,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,Matches
103,Caick,br BRA,MF,Athletic,19-316,2005,4,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Diego Caito,br BRA,DF,Goiás,21-156,2004,25,22,1781,19.8,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,Matches
105,Patric Calmon PK,br BRA,"DF,MF",Paysandu,31-128,1994,11,7,624,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Murilo Camara,br BRA,DF,Goiás,19-006,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Nathan Camargo,br BRA,MF,Remo,20-108,2005,11,6,542,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Tiago Cametá,br BRA,DF,Amazonas,33-189,1992,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Léo Campos,br BRA,DF,CRB,33-130,1992,19,13,1343,14.9,0,3,3,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
110,Camutanga,br BRA,DF,Remo,32-044,1993,14,10,962,10.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Víctor Cantillo,co COL,MF,Remo,32-026,1993,6,5,375,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Matheus Capixaba,br BRA,FW,Paysandu,19-249,2006,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Pedro Caracoci,br BRA,GK,Amazonas,25-296,2000,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Nathan Cardoso,br BRA,DF,Cuiabá,30-181,1995,24,22,1882,20.9,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches
115,Nicolas Careca,br BRA,MF,Coritiba,28-176,1997,14,6,520,5.8,1,1,2,1,0,0,3,0,0.17,0.17,0.35,0.17,0.35,Matches
116,Alason Carioca,br BRA,MF,Athletic,26-299,1999,17,4,524,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Carlão,br BRA,DF,Botafogo (SP),24-243,2001,19,16,1480,16.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Carlão,br BRA,FW,Ferroviária,33-130,1992,34,34,2894,32.2,13,2,15,10,3,3,7,1,0.40,0.06,0.47,0.31,0.37,Matches
119,Carlito,br BRA,FW,Athletic,20-268,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,João Carlos,br BRA,GK,Botafogo (SP),37-218,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,João Carlos,br BRA,MF,Criciúma,24-142,2001,14,3,475,5.3,1,1,2,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches
122,Jean Carlos Vicente,br BRA,"MF,FW",Criciúma,33-268,1992,22,5,667,7.4,3,1,4,2,1,1,2,0,0.40,0.13,0.54,0.27,0.40,Matches
123,Zé Carlos,br BRA,GK,Amazonas,30-272,1995,9,8,782,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Ronie Carrillo,ec ECU,FW,Botafogo (SP),29-063,1996,22,8,855,9.5,4,1,5,4,0,0,2,0,0.42,0.11,0.53,0.42,0.53,Matches
125,Rafael Carvalheira,br BRA,MF,Chapecoense,26-168,1999,35,33,2929,32.5,7,3,10,7,0,0,1,0,0.22,0.09,0.31,0.22,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Matheus Carvalho,br BRA,FW,Operário,24-313,2001,4,0,87,1.0,1,0,1,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,Matches
127,Alisson Cassiano,br BRA,DF,Botafogo (SP),31-166,1994,12,8,751,8.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Cassinho,br BRA,MF,Ferroviária,33-073,1992,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Cássio,br BRA,GK,América (MG),23-275,2002,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Luciano Castán,br BRA,DF,Criciúma,36-058,1989,33,33,2959,32.9,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Iury de Castilho,br BRA,"MF,FW",Coritiba,30-065,1995,25,18,1345,14.9,3,3,6,3,0,0,4,0,0.20,0.20,0.40,0.20,0.40,Matches
