Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
319,Heron,br BRA,DF,Atl Goianiense,25-085,2000,6,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
320,Hiago,br BRA,DF,Criciúma,20-069,2005,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
321,Higor,br BRA,"DF,MF",Vila Nova,20-318,2004,16,7,763,8.5,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
322,Kaua Hinkel,br BRA,MF,Paysandu,19-078,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
323,Hudson,br BRA,MF,Criciúma,24-300,2001,4,0,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
324,José Hugo,br BRA,MF,Goiás,26-024,1999,6,1,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
325,José Hugo,br BRA,MF,Ferroviária,26-024,1999,8,1,183,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Victor Hugo,br BRA,MF,Amazonas,21-184,2004,6,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
327,Hygor,br BRA,"FW,MF",Avaí,33-089,1992,26,10,808,9.0,2,0,2,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
328,Hyuri,br BRA,FW,Volta Redonda,34-045,1991,7,4,327,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
329,Gabriel Indio,br BRA,FW,Athletic,20-232,2005,4,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
330,Gabriel Inocêncio,br BRA,MF,Chapecoense,31-082,1994,12,5,439,4.9,1,1,2,1,0,0,0,1,0.21,0.21,0.41,0.21,0.41,Matches
331,Igor Inocêncio,br BRA,DF,Vila Nova,27-204,1998,6,1,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
332,Isaac,br BRA,MF,Ath Paranaense,21-200,2004,10,3,324,3.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
333,Fabrício Isidoro,br BRA,MF,Athletic,33-286,1992,18,16,1343,14.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
334,Italo,br BRA,FW,Volta Redonda,29-003,1996,18,15,1180,13.1,2,2,4,2,0,0,2,0,0.15,0.15,0.31,0.15,0.31,Matches
335,Italo,br BRA,"FW,MF",Chapecoense,23-028,2002,34,6,1150,12.8,5,2,7,5,0,0,4,0,0.39,0.16,0.55,0.39,0.55,Matches
336,Iverton,br BRA,DF,Amazonas,24-225,2001,6,5,393,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
337,Jacy,br BRA,MF,Operário,28-122,1997,5,4,352,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
338,Jacy,br BRA,DF,Coritiba,28-122,1997,25,24,2141,23.8,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches
339,Jader,br BRA,MF,Cuiabá,22-109,2003,14,7,617,6.9,2,0,2,2,0,0,4,0,0.29,0.00,0.29,0.29,0.29,Matches
340,Jáderson,br BRA,MF,Remo,25-090,2000,25,17,1424,15.8,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
341,Jadson,br BRA,MF,Cuiabá,20-092,2005,16,1,411,4.6,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches
342,Thomas Jaguaribe,br BRA,"FW,MF",Chapecoense,32-259,1993,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
343,Jajá,br BRA,"FW,MF",Goiás,26-363,1998,29,16,1237,13.7,4,1,5,4,0,0,6,0,0.29,0.07,0.36,0.29,0.36,Matches
344,Jamerson,br BRA,MF,Avaí,19-019,2006,11,1,363,4.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
345,Janderson,br BRA,"MF,FW",Remo,26-257,1999,26,13,1235,13.7,0,4,4,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches
346,Jean,br BRA,DF,Botafogo (SP),31-132,1994,15,6,671,7.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
347,Jean,br BRA,MF,Novorizontino,31-045,1994,26,20,1556,17.3,3,0,3,3,0,0,8,1,0.17,0.00,0.17,0.17,0.17,Matches
348,Jeferson,br BRA,DF,Botafogo (SP),29-141,1996,28,24,2050,22.8,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
349,Jefferson,br BRA,DF,Operário,28-311,1997,6,2,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
350,Alexandre Jesus,br BRA,FW,Botafogo (SP),24-055,2001,17,15,1299,14.4,4,0,4,4,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Anderson Jesus,br BRA,DF,CRB,30-253,1995,1,1,77,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
352,Anderson Jesus,br BRA,DF,Avaí,30-253,1995,3,1,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
353,Jhemerson,br BRA,MF,Operário,28-287,1997,6,0,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
354,Jhonnathan,br BRA,DF,Chapecoense,24-251,2001,3,1,139,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
355,Jhonny,br BRA,"DF,MF",Volta Redonda,23-208,2002,28,22,1932,21.5,0,2,2,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
356,Jhosefer,br BRA,MF,América (MG),21-246,2004,10,2,308,3.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
357,João,br BRA,FW,Paysandu,28-241,1997,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
358,Jonathan,br BRA,"DF,MF",Criciúma,33-077,1992,4,4,272,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
359,Jorge,br BRA,DF,Remo,29-227,1996,7,5,437,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
360,Bruno José,br BRA,"MF,FW",Novorizontino,27-224,1998,31,16,1355,15.1,1,2,3,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,Matches
361,David José,br BRA,MF,América (MG),23-180,2002,6,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
362,Joseph,br BRA,DF,Operário,30-315,1994,19,19,1696,18.8,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
363,Josmar,br BRA,FW,Avaí,17-080,2008,1,0,18,0.2,1,0,1,1,0,0,0,0,5.00,0.00,5.00,5.00,5.00,Matches
364,Juan,br BRA,"MF,FW",Cuiabá,24-245,2001,32,16,1489,16.5,4,3,7,4,0,0,4,0,0.24,0.18,0.42,0.24,0.42,Matches
365,Judson,br BRA,MF,Avaí,32-169,1993,2,2,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
366,Julimar,br BRA,"FW,MF",Ath Paranaense,24-289,2001,11,5,560,6.2,4,2,6,3,1,1,0,0,0.64,0.32,0.96,0.48,0.80,Matches
367,Juninho,br BRA,"DF,MF",Volta Redonda,26-105,1999,9,3,353,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
368,Juninho,br BRA,MF,Criciúma,24-291,2001,17,5,647,7.2,1,1,2,1,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matches
369,Juninho,br BRA,MF,Goiás,38-018,1987,34,32,2758,30.6,1,2,3,1,0,0,5,0,0.03,0.07,0.10,0.03,0.10,Matches
370,Juninho,br BRA,"MF,FW",Ferroviária,30-068,1995,33,28,2072,23.0,6,6,12,5,1,1,5,0,0.26,0.26,0.52,0.22,0.48,Matches
371,Juninho,br BRA,FW,Avaí,21-148,2004,4,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
372,Edílson Júnior,br BRA,"DF,MF",Paysandu,30-211,1995,25,16,1614,17.9,0,2,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
373,Eliton Junior,br BRA,FW,Amazonas,27-288,1998,5,1,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
374,Todinho Júnior,br BRA,"MF,FW",Vila Nova,31-332,1993,25,17,1426,15.8,5,1,6,5,0,0,4,0,0.32,0.06,0.38,0.32,0.38,Matches
375,Valdir Júnior,br BRA,DF,Atl Goianiense,25-172,2000,11,5,429,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Pedrinho Junqueira,br BRA,"MF,FW",Goiás,21-232,2004,24,18,1361,15.1,1,3,4,1,0,0,3,0,0.07,0.20,0.26,0.07,0.26,Matches
377,Kadu,br BRA,DF,Remo,20-086,2005,7,1,212,2.4,0,1,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
378,Lucas Kallyel,br BRA,MF,CRB,21-254,2004,10,4,385,4.3,0,1,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches
379,Alan Kardec,br BRA,FW,Ath Paranaense,36-302,1989,26,14,1081,12.0,5,0,5,5,0,1,3,0,0.42,0.00,0.42,0.42,0.42,Matches
380,Kauã,br BRA,FW,Operário,22-006,2003,3,0,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
381,Kauan,br BRA,MF,América (MG),19-290,2006,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
382,Kauan,br BRA,MF,Atl Goianiense,20-208,2005,31,16,1535,17.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
383,Kelvin,br BRA,"MF,FW",Atl Goianiense,28-084,1997,19,6,877,9.7,2,2,4,2,0,0,2,0,0.21,0.21,0.41,0.21,0.41,Matches
384,Kevin,br BRA,DF,Ferroviária,28-064,1997,15,3,508,5.6,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches
385,Kevyn,br BRA,DF,Paysandu,27-317,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
386,Kiko,br BRA,MF,Amazonas,28-237,1997,5,1,136,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
387,Willian Klaus,br BRA,DF,Remo,31-303,1994,25,25,2164,24.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
388,Kleiton,br BRA,MF,Operário,26-201,1999,15,2,511,5.7,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
389,Maurício Kozlinski,br BRA,GK,Vila Nova,34-145,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
390,Facundo Labandeira,uy URU,MF,América (MG),29-252,1996,5,3,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
391,Facundo Labandeira,uy URU,MF,Vila Nova,29-252,1996,7,6,395,4.4,2,0,2,2,0,0,2,0,0.46,0.00,0.46,0.46,0.46,Matches
392,Derik Lacerda,br BRA,"FW,MF",Cuiabá,26-044,1999,15,15,1255,13.9,2,1,3,1,1,2,1,0,0.14,0.07,0.22,0.07,0.14,Matches
393,Anderson Leite,br BRA,MF,Paysandu,32-190,1993,16,12,1085,12.1,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
394,Lelê,br BRA,FW,Atl Goianiense,28-040,1997,15,15,1225,13.6,6,1,7,6,0,0,3,0,0.44,0.07,0.51,0.44,0.51,Matches
395,Léo,br BRA,GK,Chapecoense,35-049,1990,23,23,2060,22.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
396,Leonardo,br BRA,GK,Remo,26-097,1999,2,1,104,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
397,Bruno Leonardo,br BRA,DF,Chapecoense,29-161,1996,25,22,1853,20.6,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches
398,Leozinho,br BRA,"FW,MF",Ath Paranaense,26-340,1998,19,7,773,8.6,2,1,3,2,0,0,1,0,0.23,0.12,0.35,0.23,0.35,Matches
399,Willean Lepo,br BRA,DF,Goiás,28-298,1997,29,28,2482,27.6,0,4,4,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches
400,André Lima,br BRA,MF,Paysandu,25-217,2000,22,14,1314,14.6,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Sandro Lima,br BRA,FW,Atl Goianiense,35-013,1990,17,12,1080,12.0,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches
402,Nicolás Linares,ar ARG,MF,Amazonas,29-249,1996,7,6,423,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
403,Lincoln,br BRA,FW,Athletic,24-329,2000,6,4,304,3.4,2,0,2,2,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches
404,Kauan Lindes,br BRA,MF,Athletic,21-347,2003,6,2,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
405,Guilherme Lobo,br BRA,MF,Criciúma,26-027,1999,27,25,1851,20.6,1,1,2,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,Matches
406,João Lopes,br BRA,GK,Amazonas,29-298,1996,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
407,Thiago Lopes,br BRA,"MF,FW",Ferroviária,29-014,1996,32,16,1560,17.3,4,1,5,4,0,0,4,0,0.23,0.06,0.29,0.23,0.29,Matches
408,Lucas Lovat,br BRA,"DF,MF",Goiás,28-299,1997,12,9,756,8.4,1,0,1,1,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches
409,Vágner Love,br BRA,FW,Avaí,41-152,1984,4,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
410,Lucão,br BRA,DF,América (MG),29-232,1996,35,35,3150,35.0,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches
411,Edson Lucas,br BRA,DF,Ferroviária,25-103,2000,15,13,1126,12.5,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
412,Jean Lucas,br BRA,MF,Operário,30-234,1995,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
413,Matheus Lucas,br BRA,FW,Volta Redonda,27-094,1998,23,3,714,7.9,4,0,4,4,0,0,4,0,0.50,0.00,0.50,0.50,0.50,Matches
414,Pedro Lucas,br BRA,MF,Operário,23-107,2002,9,3,313,3.5,0,1,1,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches
415,Ruan Lucas,br BRA,MF,Coritiba,21-204,2004,6,1,205,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
416,Lucca,br BRA,FW,Novorizontino,35-269,1990,17,4,436,4.8,2,1,3,2,0,0,2,0,0.41,0.21,0.62,0.41,0.62,Matches
417,Lucca,br BRA,DF,Paysandu,22-228,2003,2,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
418,Patrick de Lucca,br BRA,"MF,DF",Cuiabá,25-253,2000,24,12,1286,14.3,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
419,Ian Luccas,br BRA,MF,Ferroviária,22-272,2003,18,7,706,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
420,Thomas Luciano,br BRA,DF,Amazonas,23-300,2002,10,10,669,7.4,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
421,André Luis,br BRA,"FW,MF",Vila Nova,28-203,1997,21,13,1055,11.7,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches
422,André Luis,br BRA,"FW,MF",Cuiabá,28-203,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
423,Jefferson Luis,br BRA,GK,Athletic,31-119,1994,8,7,695,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
424,Luisão,br BRA,DF,Cuiabá,20-116,2005,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
425,André Luiz,br BRA,MF,Volta Redonda,30-080,1995,29,20,1740,19.3,2,1,3,2,0,0,3,0,0.10,0.05,0.16,0.10,0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Wallisson Luiz,br BRA,MF,Coritiba,28-048,1997,29,17,1361,15.1,1,0,1,1,0,0,10,0,0.07,0.00,0.07,0.07,0.07,Matches
427,Luizão,br BRA,"MF,DF",Atl Goianiense,27-263,1998,26,21,1784,19.8,2,1,3,2,0,0,6,0,0.10,0.05,0.15,0.10,0.15,Matches
428,Luquinha,br BRA,MF,Amazonas,25-247,2000,4,2,197,2.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
429,Machado,br BRA,MF,Coritiba,29-294,1996,33,24,1822,20.2,0,2,2,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches
430,Kaíque Maciel,br BRA,DF,Chapecoense,24-283,2001,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
431,Leandro Maciel,ar ARG,MF,Botafogo (SP),29-316,1995,32,25,2251,25.0,3,1,4,2,1,1,10,0,0.12,0.04,0.16,0.08,0.12,Matches
432,Madison,br BRA,MF,Remo,27-125,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
433,Mádson,br BRA,"DF,MF",Ath Paranaense,33-301,1992,2,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
434,Igor Maduro,br BRA,MF,Volta Redonda,24-252,2001,5,0,101,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
435,Maguinho,br BRA,"MF,DF",América (MG),32-308,1993,6,4,396,4.4,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
436,Gustavo Maia,br BRA,FW,Criciúma,24-292,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
437,Walisson Maia,br BRA,DF,Vila Nova,34-081,1991,15,9,939,10.4,0,1,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,Matches
438,Maicon,br BRA,DF,Coritiba,37-057,1988,29,27,2498,27.8,1,1,2,1,0,0,7,1,0.04,0.04,0.07,0.04,0.07,Matches
439,Mailson,br BRA,FW,Chapecoense,22-183,2003,13,2,286,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
440,Léo Mana,br BRA,MF,Criciúma,21-218,2004,6,1,174,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
441,Mancha,br BRA,DF,Chapecoense,24-270,2001,4,0,32,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
442,Alef Manga,br BRA,FW,Avaí,30-346,1994,23,10,988,11.0,3,2,5,2,1,1,4,0,0.27,0.18,0.46,0.18,0.36,Matches
443,Guilherme Maranhão,br BRA,FW,Atl Goianiense,29-223,1996,7,1,188,2.1,1,0,1,1,0,0,0,1,0.48,0.00,0.48,0.48,0.48,Matches
444,Willian Maranhão,br BRA,MF,Atl Goianiense,29-331,1995,14,13,982,10.9,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
445,Marcelinho,br BRA,DF,Remo,27-113,1998,25,22,1742,19.4,2,2,4,2,0,0,8,0,0.10,0.10,0.21,0.10,0.21,Matches
446,Marcelinho,br BRA,"MF,FW",Atl Goianiense,22-334,2002,14,14,1063,11.8,4,3,7,3,1,1,3,1,0.34,0.25,0.59,0.25,0.51,Matches
447,Marcelinho,br BRA,"MF,FW",Paysandu,26-301,1999,19,5,634,7.0,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
448,Marcelo,br BRA,DF,Criciúma,29-307,1996,15,11,914,10.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
449,Marcinho,br BRA,"MF,DF",Criciúma,29-178,1996,28,27,2251,25.0,2,5,7,2,0,0,8,2,0.08,0.20,0.28,0.08,0.28,Matches
450,Marcinho,br BRA,MF,Chapecoense,30-105,1995,20,2,395,4.4,0,4,4,0,0,0,2,0,0.00,0.91,0.91,0.00,0.91,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Marcinho,br BRA,"FW,MF",Chapecoense,30-155,1995,31,31,2190,24.3,4,3,7,4,0,0,4,0,0.16,0.12,0.29,0.16,0.29,Matches
452,Mariano,br BRA,"DF,MF",América (MG),39-140,1986,21,16,1448,16.1,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
453,Guilherme Mariano,br BRA,DF,Cuiabá,25-333,1999,16,5,664,7.4,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
454,Zé Mário,br BRA,DF,Ferroviária,33-263,1992,19,12,1064,11.8,0,1,1,0,0,0,5,1,0.00,0.08,0.08,0.00,0.08,Matches
455,Marllon,br BRA,MF,Athletic,18-012,2007,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
456,Marlon,br BRA,DF,América (MG),31-270,1994,18,17,1509,16.8,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
457,Marlon,br BRA,MF,Novorizontino,35-257,1990,18,10,871,9.7,1,2,3,1,0,0,4,0,0.10,0.21,0.31,0.10,0.31,Matches
458,Marlon,br BRA,"MF,FW",Paysandu,28-056,1997,30,25,1926,21.4,4,1,5,2,2,2,8,0,0.19,0.05,0.23,0.09,0.14,Matches
459,Marlon,br BRA,DF,Chapecoense,28-082,1997,3,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
460,Igor Marques,br BRA,"DF,MF",Novorizontino,26-306,1999,12,6,585,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
461,Renato Marques,br BRA,FW,América (MG),21-336,2003,4,0,52,0.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
462,Marquinho,br BRA,MF,Botafogo (SP),23-219,2002,23,11,1181,13.1,3,1,4,0,3,3,0,0,0.23,0.08,0.30,0.00,0.08,Matches
463,Marquinhos,br BRA,"MF,FW",Volta Redonda,27-162,1998,9,3,386,4.3,2,0,2,2,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
464,Marrony,br BRA,"MF,FW",Remo,26-278,1999,16,11,809,9.0,2,0,2,1,1,1,3,0,0.22,0.00,0.22,0.11,0.11,Matches
465,Elias Martello Curzel,br BRA,GK,Operário,30-121,1995,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
466,Alejandro Martínez,ar ARG,"MF,FW",Cuiabá,28-208,1997,17,16,1308,14.5,2,1,3,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches
467,Federico Martínez,uy URU,"MF,FW",Atl Goianiense,29-255,1996,31,18,1583,17.6,2,5,7,2,0,1,3,0,0.11,0.28,0.40,0.11,0.40,Matches
468,Fernando Martínez,py PAR,MF,Athletic,31-181,1994,17,7,745,8.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
469,Ramón Martínez,py PAR,"MF,DF",Paysandu,29-310,1996,13,7,558,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
470,Adriano Martins,br BRA,DF,Atl Goianiense,28-223,1997,18,18,1575,17.5,2,1,3,2,0,0,3,0,0.11,0.06,0.17,0.11,0.17,Matches
471,Gabryel Martins,br BRA,FW,Remo,23-333,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
472,Luan Martins,br BRA,MF,Remo,26-021,1999,14,11,916,10.2,1,0,1,1,0,0,7,0,0.10,0.00,0.10,0.10,0.10,Matches
473,Pedro Martins,br BRA,MF,Chapecoense,25-135,2000,18,4,645,7.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
474,Diogo Mateus,br BRA,DF,Operário,32-270,1993,21,16,1354,15.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
475,Fellipe Mateus,br BRA,"MF,FW",Criciúma,34-271,1991,15,2,384,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.47,0.23,0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,Fábio Matheus,br BRA,"MF,DF",Novorizontino,22-211,2003,27,24,2074,23.0,0,1,1,0,0,0,8,2,0.00,0.04,0.04,0.00,0.04,Matches
477,Matheusinho,br BRA,"DF,MF",Cuiabá,27-034,1998,31,31,2598,28.9,4,5,9,4,0,0,9,0,0.14,0.17,0.31,0.14,0.31,Matches
478,Bruno Matias,br BRA,MF,Chapecoense,26-259,1999,25,25,2150,23.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
479,Max,br BRA,MF,Athletic,23-135,2002,27,22,1745,19.4,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
